,Information Technology Stock Abbreviations
0,AAPL
1,ACN
2,ADBE
3,ADI
4,ADP
5,ADSK
6,AKAM
7,AMAT
8,AMD
9,ANET
10,ANSS
11,APH
12,AVGO
13,BR
14,CDAY
15,CDNS
16,CDW
17,CRM
18,CSCO
19,CTSH
20,CTXS
21,DXC
22,ENPH
23,FFIV
24,FIS
25,FISV
26,FLT
27,FTNT
28,GLW
29,GPN
30,HPE
31,HPQ
32,IBM
33,INTC
34,INTU
35,IPGP
36,IT
37,JKHY
38,JNPR
39,KEYS
40,KLAC
41,LRCX
42,MA
43,MCHP
44,MPWR
45,MSFT
46,MSI
47,MU
48,NLOK
49,NOW
50,NTAP
51,NVDA
52,NXPI
53,ORCL
54,PAYC
55,PAYX
56,PTC
57,PYPL
58,QCOM
59,QRVO
60,SNPS
61,STX
62,SWKS
63,TDY
64,TEL
65,TER
66,TRMB
67,TXN
68,TYL
69,V
70,VRSN
71,WDC
72,WU
73,XLNX
74,ZBRA
